scenario_id,diplomatic,economic,intelligence,military,collapse_probability,Y
scenario_001,0,1,0,2,0.6195,1
scenario_002,0,1,0,1,0.5955,1
scenario_003,1,1,0,0,0.4655,1
scenario_004,0,0,0,0,0.5075,1
scenario_005,1,1,0,1,0.4565,1
scenario_006,0,2,0,1,0.3485,0
scenario_007,0,1,0,1,0.499,1
scenario_008,0,1,0,0,0.5115,1
scenario_009,1,1,0,1,0.4015,0
scenario_010,1,1,0,1,0.4665,1
scenario_011,0,1,0,1,0.5575,1
scenario_012,0,1,0,1,0.557,1
scenario_013,1,0,0,2,0.541,1
scenario_014,1,0,0,0,0.5715,1
scenario_015,0,1,0,0,0.6015,1
scenario_016,0,1,0,1,0.569,1
