group_id,period,n_agents,mean_r1,mean_r2,median_r2,std_r2,convergence
4,1,5,0.19,0.196,0.2,0.008000000000000007,0.006000000000000005
2,1,5,0.14,0.14200000000000002,0.15,0.0116619037896906,0.0020000000000000018
0,1,5,0.16999999999999998,0.156,0.15,0.011999999999999999,0.013999999999999985
3,1,5,0.15,0.15,0.15,0.0,0.0
1,1,5,0.16999999999999998,0.173,0.18,0.0116619037896906,0.0030000000000000027
6,1,5,0.15,0.15,0.15,0.0,0.0
5,1,5,0.15,0.15,0.15,0.0,0.0
8,1,5,0.13,0.124,0.12,0.02576819745345025,0.006000000000000005
7,1,5,0.15,0.15,0.15,0.0,0.0
9,1,5,0.19,0.19000000000000003,0.2,0.020000000000000007,2.7755575615628914e-17
