period,mean_probability,median_probability,std_probability,n_successful,success_rate
1,0.17249999999999993,0.15,0.041457809879442496,100,1.0
2,0.129,0.15,0.0407308237088326,100,1.0
3,0.15649999999999997,0.15,0.039783790669065205,100,1.0
4,0.12399999999999999,0.15,0.03839270764090493,100,1.0
5,0.142,0.15,0.031400636936215164,100,1.0
6,0.12050000000000001,0.15,0.0430668085652977,100,1.0
7,0.2598,0.25,0.05669179834861476,100,1.0
8,0.318,0.35,0.07632823854904554,100,1.0
9,0.3374000000000001,0.35,0.11493145783465902,100,1.0
10,0.3775,0.35,0.11233320969330486,100,1.0
