"period","timestamp","hawk_dove_score","policy_adherence","objective_alignment","n_interactions"
1,"2026-01-31 11:06:10",0.28,0.7,0.8,0
2,"2026-01-31 11:15:33",0.28,0.7,0.8,0
3,"2026-01-31 11:26:44",0.28,0.7,0.8,0
4,"2026-01-31 11:38:54",0.28,0.7,0.8,0
5,"2026-01-31 11:56:05",0.28,0.7,0.8,0
6,"2026-01-31 12:10:24",0.28,0.7,0.8,0
7,"2026-01-31 12:24:17",0.28,0.7,0.8,0
8,"2026-01-31 12:41:28",0.28,0.7,0.8,0
9,"2026-01-31 12:54:33",0.28,0.7,0.8,0
10,"2026-01-31 13:07:33",0.28,0.7,0.8,0
1,"2026-01-31 14:45:06",0.28,0.7,0.8,0
2,"2026-01-31 14:59:00",0.28,0.7,0.8,0
3,"2026-01-31 15:14:54",0.28,0.7,0.8,0
4,"2026-01-31 15:28:28",0.28,0.7,0.8,0
5,"2026-01-31 15:42:14",0.28,0.7,0.8,0
6,"2026-01-31 15:56:51",0.28,0.7,0.8,0
7,"2026-01-31 16:09:46",0.28,0.7,0.8,0
8,"2026-01-31 16:20:23",0.28,0.7,0.8,0
9,"2026-01-31 16:33:07",0.28,0.7,0.8,0
10,"2026-01-31 16:47:21",0.28,0.7,0.8,0
1,"2026-01-31 17:11:23",0.28,0.7,0.8,0
2,"2026-01-31 17:21:37",0.28,0.7,0.8,0
3,"2026-01-31 17:32:24",0.28,0.7,0.8,0
1,"2026-01-31 18:20:30",0.28,0.7,0.8,0
2,"2026-01-31 18:31:24",0.28,0.7,0.8,0
3,"2026-01-31 18:44:30",0.28,0.7,0.8,0
1,"2026-01-31 19:39:38",0.28,0.7,0.8,0
2,"2026-01-31 19:53:24",0.28,0.7,0.8,0
3,"2026-01-31 20:09:11",0.28,0.7,0.8,0
1,"2026-01-31 21:39:34",0.28,0.7,0.8,0
2,"2026-01-31 21:55:06",0.28,0.7,0.8,0
3,"2026-01-31 22:11:03",0.28,0.7,0.8,0
1,"2026-02-01 09:54:01",0.28,0.7,0.8,0
1,"2026-02-01 10:24:53",0.28,0.7,0.8,0
1,"2026-02-01 11:14:51",0.28,0.7,0.8,0
1,"2026-02-01 12:09:20",0.28,0.7,0.8,0
2,"2026-02-01 12:21:49",0.28,0.7,0.8,0
3,"2026-02-01 12:31:55",0.28,0.7,0.8,0
1,"2026-02-01 14:14:04",0.28,0.7,0.8,0
2,"2026-02-01 14:25:34",0.28,0.7,0.8,0
3,"2026-02-01 14:35:41",0.28,0.7,0.8,0
4,"2026-02-01 14:46:48",0.28,0.7,0.8,0
5,"2026-02-01 14:58:30",0.28,0.7,0.8,0
1,"2026-02-01 17:33:06",0.28,0.7,0.8,0
1,"2026-02-01 17:52:10",0.28,0.7,0.8,0
1,"2026-02-01 18:08:33",0.28,0.7,0.8,0
1,"2026-02-01 18:24:46",0.28,0.7,0.8,0
2,"2026-02-01 18:33:30",0.28,0.7,0.8,0
3,"2026-02-01 18:40:57",0.28,0.7,0.8,0
1,"2026-02-01 18:58:21",0.28,0.7,0.8,0
2,"2026-02-01 19:03:45",0.28,0.7,0.8,0
3,"2026-02-01 19:09:42",0.28,0.7,0.8,0
4,"2026-02-01 19:16:14",0.28,0.7,0.8,0
5,"2026-02-01 19:21:59",0.28,0.7,0.8,0
1,"2026-02-01 20:02:44",0.28,0.7,0.8,0
2,"2026-02-01 20:13:22",0.28,0.7,0.8,0
3,"2026-02-01 20:24:42",0.28,0.7,0.8,0
4,"2026-02-01 20:37:52",0.28,0.7,0.8,0
5,"2026-02-01 20:48:37",0.28,0.7,0.8,0
1,"2026-02-02 09:55:20",0.28,0.7,0.8,0
2,"2026-02-02 10:02:54",0.28,0.7,0.8,0
3,"2026-02-02 10:09:04",0.28,0.7,0.8,0
4,"2026-02-02 10:15:22",0.28,0.7,0.8,0
5,"2026-02-02 10:23:17",0.28,0.7,0.8,0
6,"2026-02-02 10:32:37",0.28,0.7,0.8,0
1,"2026-02-02 10:55:34",0.28,0.7,0.8,0
2,"2026-02-02 11:05:31",0.28,0.7,0.8,0
1,"2026-02-02 11:06:50",0.28,0.7,0.8,0
1,"2026-02-02 11:10:43",0.28,0.7,0.8,0
1,"2026-02-02 11:13:10",0.28,0.7,0.8,0
3,"2026-02-02 11:14:35",0.28,0.7,0.8,0
2,"2026-02-02 11:15:17",0.28,0.7,0.8,0
2,"2026-02-02 11:17:52",0.28,0.7,0.8,0
1,"2026-02-02 11:26:32",0.28,0.7,0.8,0
1,"2026-02-02 11:29:09",0.28,0.7,0.8,0
2,"2026-02-02 11:32:01",0.28,0.7,0.8,0
2,"2026-02-02 11:36:08",0.28,0.7,0.8,0
1,"2026-02-02 11:37:20",0.28,0.7,0.8,0
3,"2026-02-02 11:39:30",0.28,0.7,0.8,0
3,"2026-02-02 11:43:49",0.28,0.7,0.8,0
2,"2026-02-02 11:44:21",0.28,0.7,0.8,0
4,"2026-02-02 11:46:40",0.28,0.7,0.8,0
1,"2026-02-02 12:35:20",0.28,0.7,0.8,0
2,"2026-02-02 12:45:14",0.28,0.7,0.8,0
1,"2026-02-02 12:45:29",0.28,0.7,0.8,0
2,"2026-02-02 12:55:08",0.28,0.7,0.8,0
3,"2026-02-02 12:55:41",0.28,0.7,0.8,0
3,"2026-02-02 13:05:18",0.28,0.7,0.8,0
1,"2026-02-02 14:04:13",0.28,0.7,0.8,0
2,"2026-02-02 14:15:57",0.28,0.7,0.8,0
3,"2026-02-02 14:27:01",0.28,0.7,0.8,0
1,"2026-02-02 15:05:35",0.28,0.7,0.8,0
2,"2026-02-02 15:15:12",0.28,0.7,0.8,0
3,"2026-02-02 15:24:32",0.28,0.7,0.8,0
1,"2026-02-02 15:54:22",0.28,0.7,0.8,0
2,"2026-02-02 16:02:16",0.28,0.7,0.8,0
3,"2026-02-02 16:11:00",0.28,0.7,0.8,0
4,"2026-02-02 16:20:46",0.28,0.7,0.8,0
5,"2026-02-02 16:30:45",0.28,0.7,0.8,0
6,"2026-02-02 16:38:45",0.28,0.7,0.8,0
7,"2026-02-02 16:47:20",0.28,0.7,0.8,0
